id,nom,type,latitude,longitude,district_region,departement_commune,verifie,niveau,shapeID
cmrev3n0a00lxyo7ek58mxc8l,Gonaté,sous_prefecture,6.90043884341384,-6.250332824689604,Gonaté,,oui,ADM3,97208781B43224194617882
cmrev3n0e00lzyo7enj4m5bmv,Goudouko,sous_prefecture,5.657052586980443,-5.604753189960738,Goudouko,,oui,ADM3,97208781B53484495974838
cmrev3n0j00m1yo7e8zqcph46,Gouékan,sous_prefecture,8.031196684633079,-7.840853589027478,Gouékan,,oui,ADM3,97208781B90560776224811
cmrev3n0n00m3yo7eh8489fel,Gouiné,sous_prefecture,7.939897719981766,-7.36693011456093,Gouiné,,oui,ADM3,97208781B1399761331342
cmrev3n0s00m5yo7ek4xna3qq,Goulaleu,sous_prefecture,6.683060744750051,-8.308173534124952,Goulaleu,,oui,ADM3,97208781B96399202877003
cmrev3n0x00m7yo7e5muy45ba,Goulia,sous_prefecture,9.974293220037787,-7.265128720613163,Goulia,,oui,ADM3,97208781B74615681916174
cmrev3n1200m9yo7eabm0kao1,Gouméré,sous_prefecture,7.932365815583379,-2.976982479777732,Gouméré,,oui,ADM3,97208781B77504268957760
cmrev3n1700mbyo7ey1hfshhy,Grabo,sous_prefecture,4.934287116120736,-7.493214102094784,Grabo,,oui,ADM3,97208781B93228770374476
cmrev3n1c00mdyo7edkwyyz9k,Grand-Bassam,sous_prefecture,5.231438285161339,-3.751620187774147,Grand-Bassam,,oui,ADM3,97208781B68182394888140
cmrev3n1h00mfyo7e1gv6ti37,Grand-Béréby,sous_prefecture,4.710362689774696,-7.010029905760516,Grand-Béréby,,oui,ADM3,97208781B87334603869884
cmrev3n1m00mhyo7eqs4zussy,Grand-Morié,sous_prefecture,5.991783465054596,-4.126907199836317,Grand-Morié,,oui,ADM3,97208781B52517887147937
cmrev3n1r00mjyo7ezub0n647,Grand-Zatry,sous_prefecture,6.113484846267224,-6.678907569022853,Grand-Zatry,,oui,ADM3,97208781B82011274263183
cmrev3n1v00mlyo7ejrfk6z57,Grand Lahou,sous_prefecture,5.361885778971681,-5.005646399546055,Grand Lahou,,oui,ADM3,97208781B97941677137453
cmrev3n2000mnyo7ej4shi8m0,Grégbeu,sous_prefecture,6.81366465036212,-6.702752314482708,Grégbeu,,oui,ADM3,97208781B81065183839398
cmrev3n2600mpyo7euo4fqlnm,Grihiri,sous_prefecture,5.467822348813235,-6.297190700988964,Grihiri,,oui,ADM3,97208781B44672956904122
