id,nom,type,latitude,longitude,district_region,departement_commune,verifie,name,featureType,theme,source,admin1,verified,indicateur,annee,valeur,unite,serie_10ans
cmreo02ul00ah126qol2pgu1o,Population totale — Côte d'Ivoire,indicateur,7.54,-5.55,National,,oui,Population totale — Côte d'Ivoire,indicateur,indicateurs,Banque Mondiale,National,true,SP.POP.TOTL,2024,31934230,habitants,"{""2015"":25246342,""2016"":25989405,""2017"":26733372,""2018"":27464173,""2019"":28193009,""2020"":28915449,""2021"":29639736,""2022"":30395002,""2023"":31165654,""2024"":31934230}"
cmreo02uq00aj126q3mj3l7qh,PIB (USD courants) — Côte d'Ivoire,indicateur,7.54,-5.55,National,,oui,PIB (USD courants) — Côte d'Ivoire,indicateur,indicateurs,Banque Mondiale,National,true,NY.GDP.MKTP.CD,2023,78788828906.86345,USD,"{""2014"":48843005613.70906,""2015"":45815005169.26511,""2016"":48407761036.82379,""2017"":52512343996.68996,""2018"":58522477786.68885,""2019"":60382894697.35568,""2020"":63027852805.42045,""2021"":72794636653.77934,""2022"":70173140101.43147,""2023"":78788828906.86345}"
